timestamp,close,typical,variation,sma8,sma20,ema8,ema20,ppo,roc,rsi,williamsr,atr,sd
2013-11-24T17:05-07:00[America/Denver],806.5,804.66,1,806.5,806.5,806.5,806.5,0,0,0,-13.002680965147453083109919571046,7.46,0.0
2013-11-24T17:10-07:00[America/Denver],806.78,804.91,1.0003471791692498450092994420335,806.64,806.64,806.562222222222222216,806.5266666666666666644,0.0027694492166026505107023630094641,0.034717916924984500929944203347799,100,-9.2493297587131367292225201072386,7.3845,0.13999999999999999
2013-11-24T17:15-07:00[America/Denver],800.81,802.42,0.99260021319318773395473363246486,804.69666666666666666666666666667,804.69666666666666666666666666667,805.28395061728395074027160493827,805.98222222222222226644920634921,-0.054169340382278603968302336988426,-0.70551766893986360818350898946063,4.173354735152487998392287100427,-86.269430051813471502590673575130,7.366775,2.750664566164976
2013-11-24T17:20-07:00[America/Denver],805.86,804.21,1.0063061150585032654437382150573,804.9875,804.9875,805.41196159122085056296570644719,805.97058201058201062301489040061,-0.048189173435784279434020385016983,-0.079355238685678859268443893366398,48.836442745072186486954831499360,-20.854922279792746113989637305699,7.25143625,2.4348241722966364
2013-11-24T17:25-07:00[America/Denver],805.84,804.16666666666666666666666666667,0.99997518179336361154542972724791,805.158,805.158,805.50708123761621709501691815272,805.95814562862181913616580282907,-0.043152644057598208999590436955348,-0.081835089894606323620582765034098,48.739555339619108143380890628294,-21.113989637305699481865284974093,7.1413644375,2.2043085083535834
2013-11-24T17:30-07:00[America/Denver],800.0,801.94333333333333333333333333333,0.99275290380224362156259307058473,804.29833333333333333333333333333,804.29833333333333333333333333333,804.28328540703483564072607495470,805.39070318780069355238261955324,-0.096563488187343159428607863445444,-0.80595164290142591444513329200248,30.014530754446072968263491094099,-96.761658031088082901554404145078,7.076296215625,2.782854749273766
2013-11-24T17:35-07:00[America/Denver],800.46,802.14666666666666666666666666667,1.000575,803.75,803.75,803.43366642769376113885995623221,804.92111240801015134921377683037,-0.13279829609246662306505638110269,-0.74891506509609423434593924364538,32.223302830531972218476721670533,-90.803108808290155440414507772021,7.01348140484375,2.9055070863054917
2013-11-24T17:40-07:00[America/Denver],805.43,803.90,1.0062089298653274367238837668341,803.96,803.96,803.87729611042848084141699768491,804.96957789296156550231194614946,-0.11039971311082522693329487709959,-0.13267203967761934283942963422195,50.427363740020405442010387980060,-26.424870466321243523316062176166,6.9303073346015625,2.774062904838317
2013-11-24T17:45-07:00[America/Denver],805.82,803.94,1.0004842134015370671566740747179,803.875,804.16666666666666666666666666667,804.30900808588881838904202287556,805.05057047458427354282643898301,-0.087726566165649088949636399890562,-0.084314941103533787972721636701798,51.527573618288827574099209880216,-21.373056994818652849740932642487,6.865791967871484375,2.6799378102237124
2013-11-24T17:50-07:00[America/Denver],805.84,804.00,1.0000248194385842992231515723114,803.7575,804.334,804.64922851124685871301064192296,805.12575423890958081807139625507,-0.068765929245107685621095361159175,-0.081835089894606323620582765034098,51.586913457941798653588394566249,-21.113989637305699481865284974093,6.79950236947791015625,2.591498408257277
2013-11-24T17:55-07:00[America/Denver],805.99,804.09666666666666666666666666667,1.0001861411694629206790429862007,804.405,804.48454545454545454545454545455,804.94717773096977896921335507890,805.20806335901343025697308330766,-0.051641592117367608219052712330355,-0.063236205827650340979541227526348,52.060923150429598190835343580048,-19.170984455958549222797927461140,6.7435272510040146484375,2.51634064624285
2013-11-24T18:00-07:00[America/Denver],805.99,806.66,1,804.42125,804.61,805.17891601297649473065878130514,805.28253351529786546426473113704,-0.037637736213278809944385116391065,-0.063236205827650340979541227526348,52.060923150429598190835343580048,-24.363636363636363636363636363636,6.506850888453813916015625,2.4448790017776614
2013-11-24T18:05-07:00[America/Denver],807.99,807.32666666666666666666666666667,1.0024814203650169356939912405861,804.69,804.87,805.80360134342616250582163019236,805.54038746622187825527431377164,-0.0064291703438322307020890291119937,0.18474891506509609423434593924365,58.364617065696051601700248441754,-0.12121212121212121212121212121212,6.28200834403112322021484375,2.5157167505962925
2013-11-24T18:10-07:00[America/Denver],807.99,807.32666666666666666666666666667,1,805.68875,805.09285714285714285714285714286,806.28946771155368190038574222575,805.77368389801027078256084909138,0.018084343199396196253595737765052,0.18474891506509609423434593924365,58.364617065696051601700248441754,-0.12121212121212121212121212121212,6.0684079268295670592041015625,2.5539029754795433
2013-11-24T18:15-07:00[America/Denver],809.06,808.32,1.0013242738152699909652347182515,806.76375,805.35733333333333333333333333333,806.90514155343064141651041532122,806.08666638391405449095154263800,0.047661421528194277362287010513200,0.31742095474271543707377557346559,61.505336399857594417738920984463,-8.2758620689655172413793103448276,5.959987530488088706243896484375,2.7334429213140035
2013-11-24T18:20-07:00[America/Denver],809.06,809.34,1,807.2175,805.58875,807.38399898600160994273346865941,806.36984101401747784869583787559,0.070275898993057497209173622386650,0.31742095474271543707377557346559,61.505336399857594417738920984463,-8.2758620689655172413793103448276,5.7039881539636842709317016601563,2.882094618112858
2013-11-24T18:25-07:00[America/Denver],801.02,803.98,0.99006254171507675574123056386424,806.6175,805.32,805.96977698911236343021489753513,805.86033234601581333498542342948,0.0076581739752239732347989650338986,-0.67947923124612523248605083694978,37.110259423577418903416545206211,-87.487684729064039408866995073892,5.8627887462655000573851165771485,2.8584151631451227
2013-11-24T18:30-07:00[America/Denver],802.53,804.90666666666666666666666666667,1.0018850965019600009987266235550,806.20375,805.165,805.20538210264294941105107561871,805.54315783687145018718474018966,-0.026575895026525011817792385377801,-0.49225046497210167389956602603844,41.780740868928450442943919312984,-72.610837438423645320197044334975,6.0131493089522250545158607482911,2.951725195991839
2013-11-24T18:35-07:00[America/Denver],809.29,806.19666666666666666666666666667,1.0084233611204565561412034441080,806.61625,805.38210526315789473684210526316,806.11307496872229389560377220662,805.89999994764559775807366170818,0.013835962689525372590389959743621,0.34593924364538127712337259764414,57.130061036703132814115080187652,-6.0098522167487684729064039408867,6.1774918435046138017900677108766,3.13206271277168
2013-11-24T18:40-07:00[America/Denver],808.99,806.76,0.99962930469918076338518948708127,806.99125,805.5625,806.75239164233956185487126657676,806.19428566691744556562378874072,0.042351344154480241506722886237389,0.30874147551146931184128952262864,56.419161324035838054078324049497,-8.9655172413793103448275862068966,6.2331172513293831117005643253328,2.85576288102725
2013-11-24T18:45-07:00[America/Denver],805.12,805.49666666666666666666666666667,0.99521625730849577868700478374269,806.6325,805.4935,806.38963794404188147895302161169,806.09197274625864123473716902141,0.025918631511359114556346834168763,-0.17110973341599504029758214507130,48.103533830842469924026057494129,-47.093596059113300492610837438424,6.2509613887629139561155361090662,2.416240966493877
